idh_ch,region_c,factor_ch,inc_total_ch,inc_proxy_ch,inc_proxy_ch_pc,inc_total_norm_ch_pc,shock,inc_after_shock,poor_before,poor_after,poor_new,afectados,P1_elegible,P2_elegible,P3_elegible,P4_elegible,P5_elegible,P6_elegible,P1_benef,P2_benef,P3_benef,P4_benef,P5_benef,P6_benef,P_benef,P_no_benef
7483,mun9,39, $966.7 ," $1,024.4 ", $204.9 , $377.2 , $82.5 , $294.7 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7484,mun9,38, $957.0 ," $1,044.1 ", $174.0 , $320.4 , $70.4 , $250.0 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7485,mun9,38, $338.8 , $440.1 , $220.0 , $405.1 , $111.3 , $293.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7486,mun9,39, $430.0 , $569.0 , $189.7 , $349.2 , $92.4 , $256.8 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7487,mun9,39, $325.0 , $409.9 , $102.5 , $188.7 , $83.1 , $105.5 ,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
7488,mun9,38, $25.0 , $106.2 , $106.2 , $195.5 , $95.0 , $100.6 ,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
7489,mun9,38, $180.0 , $264.8 , $264.8 , $487.5 , $110.2 , $377.3 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7490,mun9,39, $563.3 , $663.7 , $221.2 , $407.3 , $154.9 , $252.5 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7491,mun9,39, $800.0 , $927.1 , $231.8 , $426.7 , $87.6 , $339.1 ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7492,mun9,39, $390.0 , $512.2 , $256.1 , $471.5 , $108.4 , $363.1 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7493,mun9,39," $1,021.7 "," $1,095.5 ", $219.1 , $403.4 , $81.7 , $321.7 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7494,mun9,39, $600.0 , $669.1 , $669.1 ," $1,231.9 ", $109.7 ," $1,122.2 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
